"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"74","4","CIP308328.65","20.1","2012-01-26","71.0","2.0","6.15","5.18","","","","","","5.18","3.11","2.67","","2.67","18.83","6.3184079601990195"
"75","5","CIP308328.65","28.7","2012-02-26","102.0","1.0","6.41","","","","","","","","3.26","","","","26.93","6.1672473867595805"
"76","1","CIP308328.232","15.5","2012-02-27","103.0","1.0","2.8","","","","","","","","2.0","","","","14.7","5.16129032258065"
"77","2","CIP308328.232","13.6","2012-02-27","103.0","1.0","2.6","","","","","","","","1.9","","","","12.7","6.6176470588235325"
"78","3","CIP308328.232","19.7","2012-02-27","103.0","1.0","2.5","","","","","","","","2.6","","","","18.5","6.0913705583756315"
"79","4","CIP308328.232","14.2","2012-02-27","103.0","1.0","3.2","","","","","","","","2.0","","","","13.2","7.042253521126761"
"80","5","CIP308328.232","13.4","2012-01-27","72.0","1.0","3.1","","","","","","","","2.5","","","","12.5","6.716417910447764"
"81","1","CIP308328.18","16.3","2012-01-26","71.0","1.0","7.73","","","","","","","","3.87","","","","13.18","19.141104294478534"
"82","2","CIP308328.18","11.5","2012-01-26","71.0","1.0","","7.13","","","","","","7.13","","5.01","","5.01","11.07","3.7391304347826058"
"83","3","CIP308328.18","15.2","2012-01-26","71.0","2.0","8.83","5.9","","","","","","5.9","2.75","1.87","","1.87","13.24","12.894736842105258"
"84","4","CIP308328.18","13.6","2012-01-26","71.0","2.0","11.29","9.96","","","","","","9.96","2.3","1.72","","1.72","11.31","16.83823529411764"
"85","5","CIP308328.18","11.5","2012-01-26","71.0","1.0","12.45","","","","","","","","2.52","","","","7.51","34.69565217391305"
"86","1","CIP308328.89","23.2","2012-01-26","71.0","2.0","8.53","8.53","","","","","","8.53","5.22","3.28","","3.28","21.2","8.620689655172415"
"87","2","CIP308328.89","19.4","2012-01-26","71.0","1.0","6.11","","","","","","","","5.02","","","","18.17","6.340206185566995"
"88","3","CIP308328.89","20.4","2012-01-26","71.0","2.0","9.76","5.71","","","","","","5.71","7.16","3.5","","3.5","18.35","10.049019607843125"
"89","4","CIP308328.89","26.3","2012-01-26","71.0","1.0","5.88","","","","","","","","2.21","","","","24.46","6.996197718631178"
